,F1
IH,0.4929963601510946
AIH,0.91774903504987
A,0.8268642488335688
Kd,0.6609590114768796
SV,0.9447070853313894
R,0.8436062703858609
SA,0.9661298045564589
SE,0.8667426538664299
Rb,0.8558069154635073
Brg,0.9661222130753376
BrgPRP,0.6039901865393252
Th,0.9539338914666954
ThMV,0.4979385329113301
Drg,0.926225132705204
Frd,0.8749551936364103
Crp,0.37131587622415013
Br,0.42150678117696205
ML,0.6494885647919698
Acomp,0.7752835365984677
OCGParticip,0.7039054575297933
