,KMO indices
IH,0.5445572489036765
AIH,0.9272823476512904
A,0.8185933816115276
Kd,0.8198371527584759
SV,0.8298329747530243
R,0.8200632343868424
SA,0.904233188190363
SE,0.9185466405998552
Rb,0.7923374765522483
Brg,0.921836166523333
BrgPRP,0.7189967056361555
Th,0.7956658648366213
ThMV,0.6905954748137015
Drg,0.7249719010534044
Frd,0.8098673424342278
Crp,0.3784863759758405
Br,0.5424394797558546
ML,0.6118053624451428
Acomp,0.8469018983006873
OCGParticip,0.7997310793625004
